Gender,Education,Experience (Years),Position,Location,Salary
Male,Bachelor,1,Manager,Bangalore,65631
Female,Master,16,Senior,Mumbai,154038
Female,Bachelor,19,Senior,Delhi,45103
Male,Master,11,Manager,Mumbai,89772
Female,Bachelor,17,Junior,Mumbai,151108
Female,Bachelor,2,Mid,Bangalore,39382
Female,PhD,0,Senior,Pune,109291
Male,PhD,0,Junior,Mumbai,126195
Male,Bachelor,18,Junior,Delhi,159828
Male,Bachelor,10,Mid,Chennai,45609
Male,PhD,4,Senior,Mumbai,172550
Male,PhD,11,Senior,Mumbai,100683
Male,PhD,2,Junior,Bangalore,149714
Male,Master,0,Junior,Pune,155330
Male,Bachelor,0,Mid,Chennai,96315
Male,PhD,7,Mid,Delhi,102834
Female,Bachelor,9,Senior,Chennai,151205
Male,Master,10,Manager,Delhi,39153
Female,Master,11,Senior,Pune,101325
Female,PhD,12,Junior,Delhi,169071
Female,Master,11,Senior,Bangalore,80318
Male,Bachelor,13,Manager,Bangalore,156886
Male,PhD,1,Mid,Bangalore,140033
Male,Bachelor,18,Manager,Bangalore,101077
Male,Bachelor,17,Manager,Chennai,115474
Female,Master,2,Manager,Pune,158515
Male,Master,16,Mid,Delhi,98319
Male,Master,7,Manager,Delhi,150885
Male,Master,9,Manager,Bangalore,134777
Male,Master,1,Manager,Bangalore,42368
Male,PhD,18,Junior,Mumbai,171400
Female,Bachelor,8,Manager,Pune,116751
Male,Bachelor,6,Mid,Chennai,52306
Female,Bachelor,3,Manager,Delhi,62219
Male,Bachelor,20,Manager,Mumbai,85279
Female,Master,17,Mid,Mumbai,78028
Male,Bachelor,12,Manager,Delhi,129263
Male,PhD,10,Mid,Chennai,25126
Female,PhD,3,Manager,Mumbai,77329
Female,Bachelor,20,Mid,Mumbai,52632
Female,Bachelor,3,Manager,Pune,134945
Male,PhD,9,Manager,Chennai,80176
Female,PhD,4,Junior,Mumbai,159869
Male,Master,8,Junior,Chennai,169790
Male,PhD,2,Manager,Delhi,59560
Female,Master,16,Manager,Bangalore,101589
Female,Master,2,Senior,Mumbai,47116
Male,Master,15,Mid,Pune,157717
Male,Master,3,Senior,Delhi,149085
Female,Master,17,Junior,Chennai,142718
Female,Bachelor,16,Junior,Delhi,44256
Female,PhD,6,Junior,Mumbai,125158
Male,Master,4,Junior,Chennai,144719
Male,PhD,11,Manager,Bangalore,93244
Male,PhD,16,Junior,Delhi,167766
Male,Master,12,Manager,Mumbai,81264
Male,Bachelor,2,Manager,Pune,82545
Male,Master,8,Junior,Chennai,64224
Female,Bachelor,16,Junior,Delhi,122945
Male,PhD,16,Mid,Delhi,38224
Male,Bachelor,19,Senior,Bangalore,65738
Male,Bachelor,15,Junior,Bangalore,88731
Female,Bachelor,12,Mid,Pune,164649
Male,PhD,18,Mid,Pune,33070
Male,PhD,16,Senior,Mumbai,151161
Female,Bachelor,3,Manager,Mumbai,33666
Male,Bachelor,11,Junior,Pune,82761
Male,Master,8,Senior,Pune,61368
Male,Bachelor,18,Junior,Chennai,162855
Male,Master,11,Mid,Bangalore,66914
Male,Bachelor,8,Mid,Mumbai,152738
Female,Master,6,Manager,Bangalore,92526
Female,PhD,13,Mid,Bangalore,44956
Female,Bachelor,19,Mid,Pune,71240
Male,Bachelor,18,Senior,Chennai,146008
Male,Bachelor,14,Junior,Delhi,119270
